model_label,scenario_id,scenario_name,route_id,episodes,route_completion_mean,route_completion_var,route_completion_mean_var,ego_route_distance_m_mean,ego_route_distance_m_var,ego_route_distance_m_mean_var,mean_speed_mean,mean_speed_var,mean_speed_mean_var,combined_efficiency_mean,combined_efficiency_var,combined_efficiency_mean_var,episode_reward_mean,episode_reward_var,episode_reward_mean_var,ego_crash_mean,ego_crash_var,ego_crash_mean_var,progress_auc_mean,progress_auc_var,progress_auc_mean_var,route_speed_efficiency_mean,route_speed_efficiency_var,route_speed_efficiency_mean_var,low_speed_ratio_mean,low_speed_ratio_var,low_speed_ratio_mean_var
ppo,1,DynamicObjectCrossing,1,20,0.0,0.0,0.0000 ± 0.0000,0.0007142166432458907,6.234817711320237e-07,0.0007 ± 0.0000,0.007705257158906409,7.256554279807945e-05,0.0077 ± 0.0001,0.0,0.0,0.0000 ± 0.0000,,,,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.007142166326032336,6.234817525508194e-05,0.0071 ± 0.0001,1.0,0.0,1.0000 ± 0.0000
ppo,3,OtherLeadingVehicle,1,10,0.0,0.0,0.0000 ± 0.0000,0.0012827526777982711,1.428834107473527e-06,0.0013 ± 0.0000,0.009872308468004068,9.735173235722869e-05,0.0099 ± 0.0001,0.0,0.0,0.0000 ± 0.0000,,,,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.012827526586837673,0.00014288340648909535,0.0128 ± 0.0001,1.0,0.0,1.0000 ± 0.0000
ppo,4,ManeuverOppositeDirection,1,10,0.19850978188760013,0.006614582583697753,0.1985 ± 0.0066,31.196741749894137,183.16725476316898,31.1967 ± 183.1673,6.032337391714822,2.454912698357269,6.0323 ± 2.4549,0.26898567147516406,0.005988963362056696,0.2690 ± 0.0060,,,,1.0,0.0,1.0000 ± 0.0000,0.1758908256546056,0.004709560932004214,0.1759 ± 0.0047,6.044119149806457,2.4931026526221176,6.0441 ± 2.4931,0.35863494524260203,0.01895203787869414,0.3586 ± 0.0190
